Customer ID,Product ID,Product Category,Quantity,Price Per Unit,Total Purchase,Transaction Date,Region
8f364590,c7389250,Beauty,2,90.73,181.46,2024-07-15,South
b04983a6,fe3ef33f,Toys,6,219.76,1318.56,2024-03-27,North
5250041d,202bbfc7,Furniture,6,202.26,1213.56,2024-04-27,North
6d835950,8ad6339d,Toys,1,309.85,309.85,2024-05-28,West
f750094d,793985ae,Toys,9,319.37,2874.33,2024-09-19,West
4de4151c,dc8f06ec,Clothing,6,27.43,164.57999999999998,2024-08-26,South
1afcb27c,256bbb7a,Furniture,3,190.43,571.29,2024-06-27,West
35c4783b,559ce3ee,Furniture,4,314.8,1259.2,2024-09-29,East
3c99c069,86bf04c6,Furniture,4,254.05,1016.2,2024-06-10,West
51232a78,57cec1bf,Toys,3,428.96,1286.8799999999999,2024-11-04,East
ce885f8f,5c68f3c3,Beauty,3,331.05,993.1500000000001,2024-04-29,South
478e6544,7b4fbb71,Furniture,3,85.65,256.95000000000005,2024-08-26,South
bab19897,54759e50,Toys,4,39.93,159.72,2024-09-01,South
5c1af733,6566d2f9,Clothing,7,323.0,2261.0,2024-08-16,South
d2ec193a,f0df4a51,Beauty,4,18.12,72.48,2025-01-03,South
fe668ccf,b9083940,Clothing,9,294.96,2654.64,2024-10-08,East
3f4a2a77,25d28706,Beauty,1,470.41,470.41,2024-12-01,East
13c2a4b0,246954cc,Toys,8,289.86,2318.88,2024-12-20,South
61e407f2,62a02d15,Electronics,7,197.14,1379.98,2024-03-17,West
5c9367d9,b8c7a8aa,Beauty,2,323.43,646.86,2024-06-08,North
5c27cb85,741f2755,Clothing,8,231.84,1854.72,2024-12-15,South
482a47d3,4951de98,Toys,1,275.08,275.08,2024-06-07,West
fee45003,b4ac9fc7,Beauty,9,471.03,4239.2699999999995,2024-10-08,North
d5b8ab5d,69328a13,Electronics,9,196.12,1765.08,2024-10-02,South
740f4bd6,d1f151d1,Electronics,2,480.79,961.58,2024-07-08,South
a6a45442,41236552,Furniture,7,453.15,3172.0499999999997,2024-02-18,East
bc9b1e68,67dce5ae,Furniture,3,101.92,305.76,2024-06-30,North
5eae974e,836ca0c9,Clothing,7,39.33,275.31,2024-09-25,North
12709191,d135fe70,Beauty,9,54.89,494.01,2024-09-24,West
76870343,3500f520,Beauty,4,14.02,56.08,2024-03-20,East
9e0f6b93,6df6c1d6,Furniture,1,51.75,51.75,2024-09-12,East
5de46727,011dacc6,Beauty,2,343.09,686.18,2024-04-23,East
9bfa07ab,962517b1,Beauty,1,40.24,40.24,2024-08-07,East
867c4607,814e55ca,Electronics,5,162.89,814.4499999999999,2024-06-12,North
95f41cd4,5d61926f,Furniture,5,423.21,2116.0499999999997,2024-06-23,North
4b3777e3,a437e33c,Toys,7,16.52,115.64,2024-11-17,South
b0088664,675cfd55,Furniture,9,408.16,3673.44,2024-03-03,South
4cd5fcae,aaedfca2,Toys,9,144.52,1300.68,2024-05-15,East
16728cb8,995fbb28,Electronics,3,63.49,190.47,2024-12-27,East
3d105890,cac6bd7c,Clothing,3,349.88,1049.6399999999999,2024-02-15,East
099b1af7,119586a7,Beauty,3,316.33,948.99,2024-08-06,South
0898a9e8,2e1aa02e,Electronics,4,439.35,1757.4,2024-02-12,West
b100e735,84d06378,Beauty,8,368.86,2950.88,2025-01-23,West
6428bcfb,22b6f6ac,Clothing,6,402.72,2416.32,2024-04-15,South
25a28ece,5e7b2084,Clothing,8,144.61,1156.88,2024-03-01,South
3cc2397b,fd1f1816,Electronics,1,92.83,92.83,2024-08-16,South
355dbf18,89b7c548,Clothing,8,376.55,3012.4,2024-07-05,South
c1737fab,639417cc,Toys,4,404.38,1617.52,2024-09-09,South
6a324658,7acb759d,Clothing,1,495.3,495.3,2024-10-02,South
37bf8384,54090e9f,Beauty,8,209.25,1674.0,2024-10-09,East
a40a5730,21b34426,Beauty,4,189.15,756.6,2024-07-30,East
f8731532,ee274155,Beauty,6,389.32,2335.92,2024-04-10,East
e23429a7,d00c5d7d,Beauty,8,173.7,1389.6,2024-10-15,East
d6f95765,b2ca26ee,Toys,4,465.72,1862.88,2024-11-19,South
fbc6abb0,16aa1fd1,Furniture,3,429.91,1289.73,2024-04-30,West
501cd884,4eea87b9,Electronics,9,217.35,1956.1499999999999,2024-07-28,North
8fb95ea2,575d391e,Beauty,3,376.68,1130.04,2024-10-29,South
1302f14c,7789a3d3,Clothing,9,378.5,3406.5,2024-07-12,North
e3cb4b71,f46c9d7c,Beauty,2,56.05,112.1,2024-11-27,West
27bb06ac,2ce7acbf,Clothing,2,451.76,903.52,2024-04-19,East
178a2217,537a649f,Clothing,2,255.1,510.2,2024-06-25,West
57b07945,0de7a66c,Beauty,6,414.1,2484.6000000000004,2024-09-28,South
dd004a66,3648be19,Toys,3,163.42,490.26,2024-12-02,East
bdc7490f,19535b87,Clothing,9,448.28,4034.5199999999995,2024-11-27,South
10d617fe,69743fb6,Clothing,4,197.65,790.6,2024-06-13,East
c40c55f4,62d021d4,Beauty,1,10.36,10.36,2024-02-24,North
7967a722,8d58f35c,Clothing,4,453.16,1812.64,2024-08-29,North
1e322643,f621a147,Clothing,1,50.19,50.19,2024-03-08,North
525770f3,0e050b83,Beauty,5,163.06,815.3,2024-03-11,West
50e665d0,025de4b2,Beauty,4,475.28,1901.12,2024-02-22,South
556a7088,bf90be1e,Electronics,8,475.55,3804.4,2024-09-17,West
fda09007,bcac7921,Toys,8,288.85,2310.8,2024-12-29,North
b3e2f435,f7d1fab1,Toys,7,317.76,2224.3199999999997,2024-08-12,South
4b549448,c7498269,Clothing,3,226.98,680.9399999999999,2024-05-31,North
3c2c0e96,947c02cb,Toys,1,150.14,150.14,2024-05-23,West
721cdd7a,888e5569,Clothing,1,167.69,167.69,2024-08-16,West
b0770e47,bb8b58b4,Electronics,3,337.9,1013.6999999999999,2024-11-16,West
92a7bbb0,9bbf99c5,Beauty,6,377.43,2264.58,2024-07-11,North
5317492a,cb6f67b1,Beauty,7,396.83,2777.81,2024-04-15,South
156abe42,e8dc19a7,Beauty,6,395.86,2375.16,2024-11-09,South
b893fdb6,cea1cdb9,Toys,6,50.15,300.9,2024-07-09,North
3685d82c,b37e9dde,Electronics,6,249.74,1498.44,2024-05-11,South
39314493,6284be83,Toys,3,33.49,100.47,2024-03-13,North
8d0d6a67,7d801445,Toys,6,277.02,1662.12,2024-09-17,South
5d8f4e69,e9e34965,Electronics,8,223.56,1788.48,2024-02-18,East
d9538b8a,8482b95e,Electronics,2,444.41,888.82,2024-05-25,East
aff52769,26277118,Electronics,5,178.7,893.5,2024-08-31,West
6fc73810,7cc4b437,Electronics,1,62.95,62.95,2024-09-27,East
5a00ad38,2a064cdf,Beauty,1,75.78,75.78,2024-11-10,East
1647e13c,d295572b,Furniture,5,381.95,1909.75,2024-08-25,East
f6751e4d,846fd3bf,Furniture,3,311.02,933.06,2024-03-21,North
b2edec38,5ed09262,Electronics,4,55.06,220.24,2024-05-04,East
993d59ad,426252e5,Furniture,3,46.63,139.89000000000001,2025-01-15,East
a14366f0,2d026d9c,Furniture,1,351.98,351.98,2024-02-01,West
79197512,c0c5d4d6,Electronics,1,41.02,41.02,2025-01-03,East
25cd820f,c6b1cd46,Furniture,5,411.82,2059.1,2024-08-04,East
618a1891,cf939f12,Toys,6,354.59,2127.54,2024-12-25,South
a806f80f,34d9dd51,Clothing,3,45.27,135.81,2024-02-08,West
48c66208,fb75767d,Clothing,9,46.99,422.91,2024-06-28,West
7b34d5d7,215b5235,Electronics,5,493.39,2466.95,2024-05-17,West
3be0045a,0408838b,Beauty,8,190.26,1522.08,2024-02-01,West
48864494,34660a56,Electronics,1,188.47,188.47,2024-11-29,West
33bd8fb8,bbbadf2c,Beauty,5,407.34,2036.6999999999998,2024-09-21,West
47eb8795,96ce7fc6,Clothing,3,473.89,1421.67,2024-02-13,North
d7ba2efa,37b980d2,Electronics,1,493.07,493.07,2024-02-23,East
99270e4e,bd4554f3,Toys,4,377.92,1511.68,2024-10-05,West
8a2204f9,39f53de4,Furniture,5,191.25,956.25,2024-12-21,East
d1ad1779,8590868a,Beauty,7,46.33,324.31,2024-04-04,East
0f1f7efc,e897892c,Furniture,1,389.69,389.69,2024-10-18,North
e0592c03,d09195a0,Furniture,3,281.41,844.23,2024-04-25,West
b4610081,4cb42827,Electronics,2,214.99,429.98,2024-03-04,South
a0bf5d65,1491df0c,Furniture,9,453.65,4082.85,2024-06-19,North
56ff1ec4,f8423525,Toys,6,60.04,360.24,2024-07-03,South
090ca9e8,5200d5e8,Furniture,3,248.85,746.55,2024-08-18,East
560d76d0,e94ab6e4,Electronics,8,10.62,84.96,2025-01-15,East
099640be,0f612ece,Toys,8,236.99,1895.92,2024-09-25,North
26ee90d7,b3c3515c,Clothing,2,32.87,65.74,2024-05-11,North
c8a5f813,5eb9affd,Furniture,6,63.81,382.86,2024-08-19,South
077ef3a2,3e0fe256,Electronics,7,63.18,442.26,2024-03-07,West
6af3b449,63a3aa21,Clothing,2,326.36,652.72,2024-03-07,South
4744e070,bc061ecf,Clothing,2,374.29,748.58,2025-01-24,North
eec094a1,07db648a,Beauty,1,293.77,293.77,2024-11-28,South
43cc754d,34f12c86,Toys,8,481.28,3850.24,2024-05-03,North
a3e7ca3e,b570f50b,Furniture,1,190.56,190.56,2024-01-28,South
09697fdd,c09b0eea,Electronics,9,146.43,1317.8700000000001,2024-03-04,North
57b65e97,d2a2fbb4,Beauty,6,434.96,2609.7599999999998,2024-09-23,North
a1debbd9,7787ec3f,Toys,7,115.68,809.76,2024-11-19,North
a012c0a1,7fa4bffa,Beauty,7,481.8,3372.6,2024-06-18,West
1587fd6c,f5b47eb5,Toys,3,11.02,33.06,2024-08-14,South
7f4d4f0b,f12f38f0,Toys,2,485.09,970.18,2024-10-15,South
e2970bd6,df6a6a2f,Furniture,9,26.36,237.24,2024-02-17,South
6b0943f3,458e619a,Toys,8,446.12,3568.96,2025-01-22,North
cc2243d3,4a52d798,Beauty,7,266.21,1863.4699999999998,2024-12-27,South
79ef3958,a2b89390,Toys,9,496.52,4468.68,2024-12-08,South
8bccae6b,4da9d243,Furniture,4,41.53,166.12,2024-12-18,North
b0f955be,6d88277b,Furniture,4,279.16,1116.64,2024-01-30,East
ede4e9c4,ce950a50,Beauty,1,484.8,484.8,2024-12-20,North
b1d60449,cfe7fa61,Clothing,8,263.93,2111.44,2024-11-07,South
925267b1,27aaa5aa,Clothing,3,316.55,949.6500000000001,2024-12-17,North
b05cfc9e,d06300c6,Toys,7,349.4,2445.7999999999997,2025-01-03,East
41cb7193,d4e5d75b,Electronics,2,230.0,460.0,2025-01-11,North
a97694a6,a47a608d,Toys,2,315.64,631.28,2024-12-25,South
d474a4cb,5f3942d6,Beauty,7,294.24,2059.6800000000003,2024-02-08,East
68abddab,566ada6a,Beauty,6,451.07,2706.42,2024-11-08,West
1aa50820,c1d81705,Beauty,3,27.5,82.5,2025-01-20,South
e85bbf4b,384d3942,Beauty,9,144.08,1296.72,2024-11-14,East
23af94cd,f75d3b49,Beauty,6,475.45,2852.7,2024-09-28,East
08be9e37,4bcf050a,Furniture,6,445.68,2674.08,2024-04-24,West
9fe47fd8,cecf9295,Clothing,1,230.55,230.55,2024-03-16,North
6aa51ff6,90acbc5d,Beauty,4,311.97,1247.88,2024-10-03,North
281e1ae4,21c4aab1,Electronics,6,142.3,853.8000000000001,2025-01-17,South
c899e840,3b12f0bd,Electronics,6,98.12,588.72,2024-04-17,West
59c810cf,c9b8173d,Electronics,5,234.53,1172.65,2024-07-14,North
4c72886e,0d61189c,Electronics,1,179.91,179.91,2024-04-12,West
bc55fcf9,72c7bef2,Furniture,8,293.91,2351.28,2024-05-06,North
ea7db888,845eea80,Electronics,5,43.48,217.39999999999998,2024-04-06,East
6acb029b,dfa7358f,Beauty,5,487.33,2436.65,2025-01-04,North
4db58ba0,93ba7a80,Toys,7,493.17,3452.19,2024-08-01,West
8c39c8c5,c8f25b7f,Electronics,4,350.59,1402.36,2024-12-27,East
3bc6eb0a,a4611048,Furniture,6,270.37,1622.22,2024-06-12,East
bc2db23a,a20e154d,Furniture,4,158.22,632.88,2024-02-16,East
694529fd,9637a685,Electronics,3,407.83,1223.49,2024-09-01,West
93d8c386,3c081188,Toys,7,343.94,2407.58,2024-08-11,South
9467523a,9339f61a,Electronics,8,85.5,684.0,2024-05-15,South
431cc378,8515d8e6,Furniture,4,455.91,1823.64,2024-05-09,South
aa31b3ff,f24406ae,Clothing,2,412.16,824.32,2024-08-14,West
dd9b16b7,905e8bb6,Beauty,3,475.15,1425.4499999999998,2024-01-29,East
877f8667,3eb52996,Furniture,1,364.23,364.23,2024-06-07,South
bf627095,c431220f,Electronics,8,308.64,2469.12,2024-04-24,West
04960ca9,94ab66dc,Beauty,3,212.03,636.09,2024-05-11,South
b2589907,d87e476e,Electronics,7,466.7,3266.9,2024-04-27,North
5f0bf69b,bf174b8c,Electronics,5,433.7,2168.5,2024-08-11,South
bdc94097,6f663f43,Clothing,5,27.38,136.9,2024-04-06,South
84bba11a,8f161f8b,Beauty,7,18.05,126.35000000000001,2024-09-13,East
aad58c89,6e0a6a94,Beauty,9,191.35,1722.1499999999999,2024-08-30,West
bcc57a12,34ee66fa,Clothing,5,406.22,2031.1000000000001,2024-03-17,East
da7545a3,dcade7e2,Furniture,1,493.7,493.7,2024-02-25,East
d36b2af3,7c09c41e,Electronics,1,79.46,79.46,2024-03-28,East
8e4b158c,ca08261b,Toys,2,299.09,598.18,2024-07-30,East
46308985,e8ee5e6b,Electronics,6,193.54,1161.24,2024-02-08,East
dca0c424,67ec39e3,Electronics,9,485.11,4365.99,2024-09-18,South
8777fe14,df8d001a,Furniture,8,421.85,3374.8,2024-02-16,East
872175df,768a1d22,Electronics,5,419.97,2099.8500000000004,2025-01-16,East
b02e0a23,1ff258c6,Clothing,1,237.0,237.0,2024-12-08,West
e55306c9,6f7e4689,Clothing,7,210.34,1472.38,2024-07-25,North
b8346d68,2720cf18,Beauty,5,140.34,701.7,2024-02-01,South
25743b59,c3a692a2,Toys,6,32.91,197.45999999999998,2024-03-19,South
fdbea10a,379b5f06,Electronics,7,433.04,3031.28,2024-12-11,South
7ec6c037,7557b0de,Electronics,3,407.39,1222.17,2024-09-17,East
5952ed00,23ddf390,Furniture,3,499.86,1499.58,2024-09-22,East
0fcf71ad,6b3d1de3,Clothing,5,498.34,2491.7,2024-09-21,East
746d6991,efe1ecb3,Toys,6,279.94,1679.6399999999999,2024-07-19,West
9247b927,b2236581,Beauty,9,385.65,3470.85,2024-05-27,North
9fb50c5f,b7970eeb,Clothing,5,472.66,2363.3,2024-08-05,East
090b2a5b,f4155a55,Beauty,1,425.58,425.58,2024-06-07,North
db713415,04c4fa56,Furniture,4,127.44,509.76,2024-11-17,West
9e3da573,774e4101,Furniture,5,228.02,1140.1000000000001,2024-04-09,South
6cb31e6f,1aa5237e,Electronics,5,68.93,344.65000000000003,2024-09-06,East
eeaaf8c5,cef8a1bb,Toys,7,477.26,3340.8199999999997,2024-10-15,North
3c17e2a7,1b4ba5dd,Beauty,4,305.06,1220.24,2024-03-17,North
